t(s)	v_x(t)	v_y(t)	v_z(t)
0.00000000000000e+00	-7.07499734855187e-09	5.11431847393525e-08	1.77401483698126e-07
5.00000000000000e-03	-2.56103167215000e-08	4.79810348935947e-08	2.64176271937871e-07
1.00000000000000e-02	8.32373302864319e-08	3.71463773931571e-08	2.72108869319759e-07
1.50000000000000e-02	1.32352606818085e-07	3.69320003800626e-08	2.64207197435319e-07
2.00000000000000e-02	1.64510655708301e-07	3.23143790157904e-08	2.76662130508717e-07
2.50000000000000e-02	1.84298675459730e-07	3.44285946628727e-08	2.70400792041388e-07
3.00000000000000e-02	2.01343119502024e-07	3.09737237054134e-08	2.83647026269720e-07
3.50000000000000e-02	2.12769049150050e-07	3.37410344570746e-08	2.77788870241730e-07
4.00000000000000e-02	2.24363769976891e-07	3.06866503380883e-08	2.91281923170942e-07
4.50000000000000e-02	2.32318882582835e-07	3.37313568112350e-08	2.85575153157671e-07
5.00000000000000e-02	2.41372113739239e-07	3.08551437505523e-08	2.99183012861871e-07
5.50000000000000e-02	2.47585891685876e-07	3.40489638774949e-08	2.93559879539983e-07
6.00000000000000e-02	2.55274056920044e-07	3.12636439310743e-08	3.07246760305784e-07
6.50000000000000e-02	2.60511397307423e-07	3.45516637523931e-08	3.01687182677755e-07
7.00000000000000e-02	2.67402496685731e-07	3.18168879272523e-08	3.15445196080547e-07
7.50000000000000e-02	2.72054013306286e-07	3.51716219030018e-08	3.09944998840649e-07
8.00000000000000e-02	2.78457399174327e-07	3.24663219241831e-08	3.23779001902275e-07
8.50000000000000e-02	2.82743931305381e-07	3.58715705781507e-08	3.18342080151976e-07
9.00000000000000e-02	2.88843719579253e-07	3.31841500730493e-08	3.32260184009291e-07
9.50000000000000e-02	2.92900218522810e-07	3.66288087329555e-08	3.26890047911540e-07
1.00000000000000e-01	2.98814113481747e-07	3.39528459348916e-08	3.40899783452282e-07
1.05000000000000e-01	3.02728489459636e-07	3.74270018860121e-08	3.35601439841261e-07
1.10000000000000e-01	3.08536290740093e-07	3.47586403876175e-08	3.49714885740110e-07
1.15000000000000e-01	3.12368822858549e-07	3.82505190688368e-08	3.44496133436881e-07
1.20000000000000e-01	3.18127335038549e-07	3.55873180863861e-08	3.58722933063276e-07
1.25000000000000e-01	3.21921393240531e-07	3.90793126558161e-08	3.53588080057441e-07
1.30000000000000e-01	3.27673164245884e-07	3.64179224319083e-08	3.67937746239233e-07
1.35000000000000e-01	3.31461428021984e-07	3.98770466231001e-08	3.62893902916548e-07
1.40000000000000e-01	3.37239655957138e-07	3.72059239100430e-08	3.77379561409893e-07
1.45000000000000e-01	3.41047659880503e-07	4.05533165120948e-08	3.72434576085456e-07
1.50000000000000e-01	3.46879308436045e-07	3.77973340551173e-08	3.87065629271606e-07
1.55000000000000e-01	3.50727959297943e-07	4.05898607012413e-08	3.82224661829894e-07
1.60000000000000e-01	3.56635935000635e-07	3.65129737144745e-08	3.97012833915074e-07
1.65000000000000e-01	3.60542942520086e-07	3.48488510671053e-08	3.92284725652478e-07
1.70000000000000e-01	3.66547233122962e-07	3.27986540539582e-08	4.07242972088748e-07
1.75000000000000e-01	3.70528097532409e-07	6.04379014742174e-08	4.02635348876067e-07
1.80000000000000e-01	3.76646831387890e-07	4.51726105669792e-08	4.17774511135703e-07
1.85000000000000e-01	3.80715679069201e-07	4.94032818956048e-08	4.13295415616277e-07
1.90000000000000e-01	3.86965889193358e-07	4.50763200737178e-08	4.28630414039277e-07
1.95000000000000e-01	3.91136023333392e-07	4.92103218997419e-08	4.24290298224856e-07
2.00000000000000e-01	3.97534040703018e-07	4.56725954072277e-08	4.39833538426234e-07
2.05000000000000e-01	4.01818241192097e-07	4.99323673312048e-08	4.35640513537845e-07
2.10000000000000e-01	4.08380036479799e-07	4.66584554465974e-08	4.51406772731761e-07
2.15000000000000e-01	4.12790877548884e-07	5.08966588521201e-08	4.47373860639081e-07
2.20000000000000e-01	4.19532558693033e-07	4.77349307308348e-08	4.63381420532687e-07
2.25000000000000e-01	4.24082828954575e-07	5.18741128619992e-08	4.59519795274536e-07
2.30000000000000e-01	4.31020839690900e-07	4.87653373291545e-08	4.75780134880765e-07
2.35000000000000e-01	4.35723559029661e-07	5.25353937050218e-08	4.72099460849707e-07
