  Freq              AMPL              PHASE          REAL          IMAG
 0.2099800E+00   0.1000002E+01  -0.1077402E-04   0.1000002E+01  -0.1880424E-06
 0.2099800E+00   0.1000002E+01  -0.1077402E-04   0.1000002E+01  -0.1880424E-06
 0.4000000E+00   0.1000007E+01  -0.4024385E-04   0.1000007E+01  -0.7023925E-06
 0.6000000E+00   0.1000015E+01  -0.9187432E-04   0.1000015E+01  -0.1603534E-05
 0.8000000E+00   0.1000027E+01  -0.1672112E-03   0.1000027E+01  -0.2918466E-05
 0.1000000E+01   0.1000043E+01  -0.2694243E-03   0.1000043E+01  -0.4702545E-05
 0.1200000E+01   0.1000063E+01  -0.4036395E-03   0.1000063E+01  -0.7045282E-05
 0.1400000E+01   0.1000087E+01  -0.5789083E-03   0.1000087E+01  -0.1010474E-04
 0.1600000E+01   0.1000116E+01  -0.8131838E-03   0.1000116E+01  -0.1419439E-04
 0.1800000E+01   0.1000153E+01  -0.1147977E-02   0.1000153E+01  -0.2003904E-04
 0.2000000E+01   0.1000199E+01  -0.1702400E-02   0.1000199E+01  -0.2971838E-04
 0.2200000E+01   0.1000262E+01  -0.2956709E-02   0.1000262E+01  -0.5161781E-04
 0.2400000E+01   0.1000339E+01  -0.7721389E-02   0.1000339E+01  -0.1348094E-03
 0.2600000E+01   0.1000301E+01  -0.1780898E-01   0.1000301E+01  -0.3109189E-03
 0.2800000E+01   0.1000142E+01  -0.9662886E-02   0.1000142E+01  -0.1686732E-03
 0.3000000E+01   0.1000232E+01  -0.5215369E-02   0.1000232E+01  -0.9104645E-04
 0.3200000E+01   0.1000322E+01  -0.4609530E-02   0.1000322E+01  -0.8047736E-04
 0.3400000E+01   0.1000408E+01  -0.5425779E-02   0.1000408E+01  -0.9473638E-04
 0.3600000E+01   0.1000494E+01  -0.8280872E-02   0.1000494E+01  -0.1445999E-03
 0.3800000E+01   0.1000519E+01  -0.1372742E-01   0.1000519E+01  -0.2397130E-03
 0.4000000E+01   0.1000454E+01  -0.1250787E-01   0.1000454E+01  -0.2184027E-03
 0.4200000E+01   0.1000522E+01  -0.8528350E-02   0.1000522E+01  -0.1489255E-03
 0.4400000E+01   0.1000618E+01  -0.7474644E-02   0.1000618E+01  -0.1305377E-03
 0.4600000E+01   0.1000712E+01  -0.7557648E-02   0.1000712E+01  -0.1319997E-03
 0.4800000E+01   0.1000806E+01  -0.8074478E-02   0.1000806E+01  -0.1410398E-03
 0.5000000E+01   0.1000903E+01  -0.8833007E-02   0.1000903E+01  -0.1543042E-03
 0.5200000E+01   0.1001004E+01  -0.9783452E-02   0.1001004E+01  -0.1709249E-03
 0.5400000E+01   0.1001111E+01  -0.1093039E-01   0.1001111E+01  -0.1909833E-03
 0.5600000E+01   0.1001226E+01  -0.1231604E-01   0.1001226E+01  -0.2152191E-03
 0.5800000E+01   0.1001350E+01  -0.1403184E-01   0.1001350E+01  -0.2452326E-03
 0.6000000E+01   0.1001486E+01  -0.1626216E-01   0.1001486E+01  -0.2842499E-03
 0.6200000E+01   0.1001634E+01  -0.1939578E-01   0.1001634E+01  -0.3390734E-03
 0.6400000E+01   0.1001792E+01  -0.2425447E-01   0.1001792E+01  -0.4240790E-03
 0.6600000E+01   0.1001931E+01  -0.3187762E-01   0.1001931E+01  -0.5574440E-03
 0.6800000E+01   0.1002003E+01  -0.4005526E-01   0.1002003E+01  -0.7004963E-03
 0.7000000E+01   0.1002031E+01  -0.4683631E-01   0.1002031E+01  -0.8191079E-03
 0.7200000E+01   0.1001993E+01  -0.4751725E-01   0.1001993E+01  -0.8309856E-03
 0.7400000E+01   0.1002083E+01  -0.4170506E-01   0.1002083E+01  -0.7294070E-03
 0.7600000E+01   0.1002285E+01  -0.3854984E-01   0.1002285E+01  -0.6743588E-03
 0.7800000E+01   0.1002522E+01  -0.3861475E-01   0.1002522E+01  -0.6756544E-03
 0.8000000E+01   0.1002775E+01  -0.4063122E-01   0.1002775E+01  -0.7111163E-03
 0.8200000E+01   0.1003043E+01  -0.4383293E-01   0.1003043E+01  -0.7673568E-03
 0.8400000E+01   0.1003332E+01  -0.4773812E-01   0.1003332E+01  -0.8359639E-03
