  Freq              AMPL              PHASE          REAL          IMAG
 0.2099800E+00   0.1000004E+01  -0.2112463E-04   0.1000004E+01  -0.3686957E-06
 0.2099800E+00   0.1000004E+01  -0.2112463E-04   0.1000004E+01  -0.3686957E-06
 0.4000000E+00   0.1000013E+01  -0.7851817E-04   0.1000013E+01  -0.1370419E-05
 0.6000000E+00   0.1000030E+01  -0.1777042E-03   0.1000030E+01  -0.3101615E-05
 0.8000000E+00   0.1000053E+01  -0.3191768E-03   0.1000053E+01  -0.5570982E-05
 0.1000000E+01   0.1000083E+01  -0.5045587E-03   0.1000083E+01  -0.8806938E-05
 0.1200000E+01   0.1000119E+01  -0.7355652E-03   0.1000119E+01  -0.1283956E-04
 0.1400000E+01   0.1000162E+01  -0.1014037E-02   0.1000162E+01  -0.1770115E-04
 0.1600000E+01   0.1000212E+01  -0.1342002E-02   0.1000212E+01  -0.2342732E-04
 0.1800000E+01   0.1000269E+01  -0.1721821E-02   0.1000269E+01  -0.3005952E-04
 0.2000000E+01   0.1000332E+01  -0.2156493E-02   0.1000332E+01  -0.3765039E-04
 0.2200000E+01   0.1000402E+01  -0.2649633E-02   0.1000402E+01  -0.4626344E-04
 0.2400000E+01   0.1000481E+01  -0.3199707E-02   0.1000481E+01  -0.5587226E-04
 0.2600000E+01   0.1000566E+01  -0.4206409E-02   0.1000566E+01  -0.7345722E-04
 0.2800000E+01   0.1000649E+01  -0.4686041E-02   0.1000649E+01  -0.8183990E-04
 0.3000000E+01   0.1000747E+01  -0.5269240E-02   0.1000747E+01  -0.9203433E-04
 0.3200000E+01   0.1000854E+01  -0.6051808E-02   0.1000854E+01  -0.1057141E-03
 0.3400000E+01   0.1000968E+01  -0.6984812E-02   0.1000968E+01  -0.1220259E-03
 0.3600000E+01   0.1001088E+01  -0.8182784E-02   0.1001088E+01  -0.1429720E-03
 0.3800000E+01   0.1001210E+01  -0.9654796E-02   0.1001210E+01  -0.1687118E-03
 0.4000000E+01   0.1001331E+01  -0.1054456E-01   0.1001331E+01  -0.1842822E-03
 0.4200000E+01   0.1001472E+01  -0.1128848E-01   0.1001472E+01  -0.1973112E-03
 0.4400000E+01   0.1001622E+01  -0.1237869E-01   0.1001622E+01  -0.2163995E-03
 0.4600000E+01   0.1001780E+01  -0.1365595E-01   0.1001780E+01  -0.2387655E-03
 0.4800000E+01   0.1001945E+01  -0.1506000E-01   0.1001945E+01  -0.2633579E-03
 0.5000000E+01   0.1002118E+01  -0.1657719E-01   0.1002118E+01  -0.2899393E-03
 0.5200000E+01   0.1002299E+01  -0.1820728E-01   0.1002299E+01  -0.3185076E-03
 0.5400000E+01   0.1002489E+01  -0.1995559E-01   0.1002489E+01  -0.3491577E-03
 0.5600000E+01   0.1002688E+01  -0.2183162E-01   0.1002687E+01  -0.3820577E-03
 0.5800000E+01   0.1002895E+01  -0.2385049E-01   0.1002895E+01  -0.4174747E-03
 0.6000000E+01   0.1003112E+01  -0.2603784E-01   0.1003112E+01  -0.4558603E-03
 0.6200000E+01   0.1003340E+01  -0.2844250E-01   0.1003339E+01  -0.4980731E-03
 0.6400000E+01   0.1003577E+01  -0.3116267E-01   0.1003576E+01  -0.5458363E-03
 0.6600000E+01   0.1003820E+01  -0.3431550E-01   0.1003820E+01  -0.6012066E-03
 0.6800000E+01   0.1004066E+01  -0.3758590E-01   0.1004066E+01  -0.6586649E-03
 0.7000000E+01   0.1004321E+01  -0.4073221E-01   0.1004320E+01  -0.7139827E-03
 0.7200000E+01   0.1004584E+01  -0.4374228E-01   0.1004583E+01  -0.7669461E-03
 0.7400000E+01   0.1004867E+01  -0.4655768E-01   0.1004866E+01  -0.8165393E-03
 0.7600000E+01   0.1005171E+01  -0.4984695E-01   0.1005170E+01  -0.8744916E-03
 0.7800000E+01   0.1005490E+01  -0.5373078E-01   0.1005490E+01  -0.9429276E-03
 0.8000000E+01   0.1005826E+01  -0.5821923E-01   0.1005826E+01  -0.1022037E-02
 0.8200000E+01   0.1006179E+01  -0.6340669E-01   0.1006178E+01  -0.1113493E-02
 0.8400000E+01   0.1006551E+01  -0.6949802E-01   0.1006550E+01  -0.1220915E-02
 0.8600000E+01   0.1006944E+01  -0.7684723E-01   0.1006943E+01  -0.1350550E-02
 0.8800000E+01   0.1007358E+01  -0.8601707E-01   0.1007357E+01  -0.1512327E-02
 0.9000000E+01   0.1007792E+01  -0.9781455E-01   0.1007790E+01  -0.1720487E-02
 0.9200000E+01   0.1008237E+01  -0.1135278E+00   0.1008235E+01  -0.1997754E-02
 0.9400000E+01   0.1008666E+01  -0.1351992E+00   0.1008664E+01  -0.2380119E-02
 0.9600000E+01   0.1009011E+01  -0.1650678E+00   0.1009007E+01  -0.2906935E-02
 0.9800000E+01   0.1009099E+01  -0.2033628E+00   0.1009092E+01  -0.3581638E-02
 0.1000000E+02   0.1008697E+01  -0.2344136E+00   0.1008688E+01  -0.4126859E-02
 0.1020000E+02   0.1008044E+01  -0.2283464E+00   0.1008036E+01  -0.4017445E-02
 0.1040000E+02   0.1007823E+01  -0.1875325E+00   0.1007818E+01  -0.3298659E-02
 0.1060000E+02   0.1008248E+01  -0.1448474E+00   0.1008244E+01  -0.2548912E-02
 0.1080000E+02   0.1009019E+01  -0.1205348E+00   0.1009017E+01  -0.2122702E-02
 0.1100000E+02   0.1009842E+01  -0.1131106E+00   0.1009840E+01  -0.1993582E-02
 0.1120000E+02   0.1010612E+01  -0.1155740E+00   0.1010610E+01  -0.2038550E-02
