  Freq              AMPL              PHASE          REAL          IMAG
 0.2099800E+00   0.1000066E+01  -0.3776341E-03   0.1000066E+01  -0.6591391E-05
 0.2099800E+00   0.1000066E+01  -0.3776341E-03   0.1000066E+01  -0.6591391E-05
 0.4000000E+00   0.1000241E+01  -0.1396511E-02   0.1000241E+01  -0.2437960E-04
 0.6000000E+00   0.1000541E+01  -0.3151592E-02   0.1000541E+01  -0.5503540E-04
 0.8000000E+00   0.1000963E+01  -0.5659987E-02   0.1000963E+01  -0.9888057E-04
 0.1000000E+01   0.1001512E+01  -0.8979124E-02   0.1001512E+01  -0.1569523E-03
 0.1200000E+01   0.1002194E+01  -0.1320537E-01   0.1002194E+01  -0.2309828E-03
 0.1400000E+01   0.1003018E+01  -0.1851452E-01   0.1003018E+01  -0.3241144E-03
 0.1600000E+01   0.1004000E+01  -0.2526699E-01   0.1004000E+01  -0.4427562E-03
 0.1800000E+01   0.1005173E+01  -0.3432947E-01   0.1005173E+01  -0.6022619E-03
 0.2000000E+01   0.1006606E+01  -0.4832256E-01   0.1006605E+01  -0.8489588E-03
 0.2200000E+01   0.1008465E+01  -0.7864516E-01   0.1008464E+01  -0.1384236E-02
 0.2400000E+01   0.1010541E+01  -0.1971230E+00   0.1010535E+01  -0.3476704E-02
 0.2600000E+01   0.1009402E+01  -0.3399819E+00   0.1009384E+01  -0.5989557E-02
 0.2800000E+01   0.1008458E+01  -0.1897349E+00   0.1008452E+01  -0.3339500E-02
 0.3000000E+01   0.1010989E+01  -0.1282551E+00   0.1010986E+01  -0.2263069E-02
 0.3200000E+01   0.1013562E+01  -0.1268766E+00   0.1013559E+01  -0.2244444E-02
 0.3400000E+01   0.1016196E+01  -0.1520766E+00   0.1016193E+01  -0.2697224E-02
 0.3600000E+01   0.1018820E+01  -0.2248233E+00   0.1018812E+01  -0.3997743E-02
 0.3800000E+01   0.1019936E+01  -0.3267887E+00   0.1019919E+01  -0.5817211E-02
 0.4000000E+01   0.1020053E+01  -0.2960937E+00   0.1020039E+01  -0.5271415E-02
 0.4200000E+01   0.1022645E+01  -0.2306781E+00   0.1022636E+01  -0.4117251E-02
 0.4400000E+01   0.1025792E+01  -0.2188313E+00   0.1025784E+01  -0.3917825E-02
 0.4600000E+01   0.1028993E+01  -0.2280842E+00   0.1028985E+01  -0.4096224E-02
 0.4800000E+01   0.1032284E+01  -0.2460111E+00   0.1032275E+01  -0.4432310E-02
 0.5000000E+01   0.1035724E+01  -0.2693135E+00   0.1035712E+01  -0.4868306E-02
 0.5200000E+01   0.1039356E+01  -0.2973809E+00   0.1039342E+01  -0.5394521E-02
 0.5400000E+01   0.1043225E+01  -0.3308278E+00   0.1043207E+01  -0.6023583E-02
 0.5600000E+01   0.1047378E+01  -0.3714137E+00   0.1047356E+01  -0.6789468E-02
 0.5800000E+01   0.1051877E+01  -0.4227491E+00   0.1051848E+01  -0.7761061E-02
 0.6000000E+01   0.1056797E+01  -0.4922856E+00   0.1056758E+01  -0.9079894E-02
 0.6200000E+01   0.1062196E+01  -0.5963407E+00   0.1062139E+01  -0.1105525E-01
 0.6400000E+01   0.1067884E+01  -0.7706618E+00   0.1067787E+01  -0.1436323E-01
 0.6600000E+01   0.1072372E+01  -0.1060952E+01   0.1072188E+01  -0.1985610E-01
 0.6800000E+01   0.1072835E+01  -0.1344963E+01   0.1072539E+01  -0.2518145E-01
 0.7000000E+01   0.1071629E+01  -0.1423591E+01   0.1071298E+01  -0.2662334E-01
 0.7200000E+01   0.1071895E+01  -0.1289296E+01   0.1071624E+01  -0.2411826E-01
